"country","routine-campaign-bluesky","routine-campaign-ia2030"
"AGO","OK","OK"
"BDI","ERROR","OK"
"BEN","ERROR","OK"
"BFA","ERROR","OK"
"CAF","ERROR","OK"
"CIV","ERROR","OK"
"CMR","ERROR","OK"
"COD","ERROR","OK"
"COG","ERROR","OK"
"COL","ERROR","OK"
"ECU","ERROR","OK"
"ERI","ERROR","OK"
"ETH","ERROR","OK"
"GHA","ERROR","OK"
"GIN","ERROR","OK"
"GMB","ERROR","OK"
"GNB","ERROR","OK"
"KEN","ERROR","OK"
"LBR","ERROR","OK"
"MLI","ERROR","OK"
"MRT","OK","OK"
"NER","ERROR","OK"
"NGA","ERROR","OK"
"PER","ERROR","OK"
"RWA","ERROR","OK"
"SDN","ERROR","OK"
"SEN","ERROR","OK"
"SLE","ERROR","OK"
"SOM","OK","OK"
"SSD","ERROR","OK"
"TCD","ERROR","OK"
"TGO","ERROR","OK"
"TZA","ERROR","OK"
"UGA","ERROR","OK"
"VEN","ERROR","OK"
"ZMB","OK","OK"
