"country","routine-campaign-bluesky","routine-campaign-ia2030"
"AGO","OK","OK"
"BDI","ERROR","OK"
"BEN","ERROR","OK"
"BFA","ERROR","OK"
"CAF","ERROR","OK"
"CIV","ERROR","OK"
"CMR","ERROR","OK"
"COD","OK","OK"
"COG","OK","OK"
"COL","ERROR","OK"
"ECU","OK","OK"
"ERI","OK","OK"
"ETH","ERROR","OK"
"GHA","ERROR","OK"
"GIN","ERROR","OK"
"GMB","ERROR","OK"
"GNB","ERROR","OK"
"KEN","ERROR","OK"
"LBR","ERROR","OK"
"MLI","ERROR","OK"
"MRT","OK","OK"
"NER","ERROR","OK"
"NGA","ERROR","OK"
"PER","OK","OK"
"RWA","OK","OK"
"SDN","OK","OK"
"SEN","ERROR","OK"
"SLE","ERROR","OK"
"SOM","OK","OK"
"SSD","OK","OK"
"TCD","ERROR","OK"
"TGO","OK","OK"
"TZA","OK","OK"
"UGA","OK","OK"
"VEN","OK","OK"
"ZMB","OK","OK"
