"country","routine-bluesky","routine-campaign-bluesky","routine-campaign-default","routine-ia2030","routine-campaign-ia2030"
"AGO","OK","OK","OK","OK","OK"
"BDI","OK","ERROR","OK","OK","OK"
"BEN","OK","ERROR","OK","OK","OK"
"BFA","OK","ERROR","OK","OK","OK"
"CAF","OK","ERROR","OK","OK","OK"
"CIV","OK","ERROR","OK","OK","OK"
"CMR","OK","ERROR","OK","OK","OK"
"COD","OK","ERROR","OK","OK","OK"
"COG","OK","ERROR","OK","OK","OK"
"COL","OK","ERROR","OK","OK","OK"
"ECU","OK","ERROR","OK","OK","OK"
"ERI","OK","ERROR","ERROR","OK","ERROR"
"ETH","OK","ERROR","ERROR","OK","ERROR"
"GHA","OK","ERROR","ERROR","OK","ERROR"
"GIN","OK","ERROR","ERROR","OK","ERROR"
"GMB","OK","ERROR","ERROR","OK","ERROR"
"GNB","OK","ERROR","ERROR","OK","ERROR"
"KEN","OK","ERROR","ERROR","OK","ERROR"
"LBR","OK","ERROR","ERROR","OK","ERROR"
"MLI","OK","ERROR","ERROR","OK","ERROR"
"MRT","OK","ERROR","ERROR","OK","ERROR"
"NER","OK","ERROR","ERROR","OK","ERROR"
"NGA","OK","ERROR","ERROR","OK","ERROR"
"PER","OK","ERROR","ERROR","OK","ERROR"
"RWA","OK","OK","ERROR","OK","ERROR"
"SDN","OK","ERROR","ERROR","OK","ERROR"
"SEN","OK","ERROR","ERROR","OK","ERROR"
"SLE","OK","ERROR","ERROR","OK","ERROR"
"SOM","OK","ERROR","ERROR","OK","ERROR"
"SSD","OK","OK","ERROR","OK","ERROR"
"TCD","OK","ERROR","OK","OK","OK"
"TGO","OK","ERROR","OK","OK","OK"
"TZA","OK","ERROR","OK","OK","OK"
"UGA","OK","ERROR","OK","OK","OK"
"VEN","OK","ERROR","OK","OK","OK"
"ZMB","OK","OK","OK","OK","OK"
