"scenario","country","cases","deaths","dalys","YLL"
"routine-campaign-default","AGO",78436.92,30590.57,1363922.3,0
"routine-campaign-default","BDI",16057.56,6265.04,270839.28,0
"routine-campaign-default","BEN",57401.64,22386.12,1037990.65,0
"routine-campaign-default","BFA",80748.84,31491.65,1410618.84,0
"routine-campaign-default","CAF",31452.72,12267.28,521063.75,0
"routine-campaign-default","CIV",170088.12,66334.43,2951240.79,0
"routine-campaign-default","CMR",315189.84,122923.51,5691568.75,0
"routine-campaign-default","COD",553251.72,215768,10023646.59,0
"routine-campaign-default","COG",17964.48,7005.06,315457.91,0
"routine-campaign-default","COL",253232.4,98760.32,4229717.42,0
"routine-campaign-default","ECU",23541.6,9180.54,401636.45,0
"routine-campaign-default","ERI",10278.96,4006.46,183165.88,0
"routine-campaign-default","ETH",248606.88,96956.71,4599390.28,0
"routine-campaign-default","GHA",120152.4,46860.47,2157530.66,0
"routine-campaign-default","GIN",100200.12,39077.84,1756096.52,0
"routine-campaign-default","GMB",7401.72,2878.19,127846.81,0
"routine-campaign-default","GNB",8717.16,3399.62,152040.17,0
"routine-campaign-default","KEN",310466.4,121081.89,5260045.36,0
"routine-campaign-default","LBR",15507.72,6049.53,273119.77,0
"routine-campaign-default","MLI",77619.96,30271.87,1388883.42,0
"routine-campaign-default","MRT",27878.04,10872.46,497008.54,0
"routine-campaign-default","NER",137317.44,53553.65,2637866.42,0
"routine-campaign-default","NGA",936973.68,365419.82,15516936.36,0
"routine-campaign-default","PER",78440.4,30591.4,1318324.75,0
"routine-campaign-default","RWA",11995.68,4673.72,206130.88,0
"routine-campaign-default","SDN",181164.6,70653.87,3330455.52,0
"routine-campaign-default","SEN",96789.12,37747.39,1934310.4,0
"routine-campaign-default","SLE",26133.96,10190.13,437681.81,0
"routine-campaign-default","SOM",100194.12,39076.1,1711012.55,0
"routine-campaign-default","SSD",75706.2,29525.96,1298054.07,0
"routine-campaign-default","TCD",78239.16,30513.36,1317476.67,0
"routine-campaign-default","TGO",36074.16,14070.27,636333.24,0
"routine-campaign-default","TZA",227721.36,88811.49,4115270.76,0
"routine-campaign-default","UGA",184757.04,72055.17,3091990.11,0
"routine-campaign-default","VEN",185701.32,72423.62,3210124.55,0
"routine-campaign-default","ZMB",37156.08,14489.68,621542.36,0
"routine-ia2030","AGO",66377.28,25886.15,1146423.51,0
"routine-ia2030","BDI",16036.2,6256.81,270471.91,0
"routine-ia2030","BEN",76055.64,29661.5,1329473.49,0
"routine-ia2030","BFA",99960.84,38984.81,1692778.79,0
"routine-ia2030","CAF",35445.48,13823.56,573163.66,0
"routine-ia2030","CIV",210346.2,82034.47,3562410.46,0
"routine-ia2030","CMR",377122.44,147077.27,6665311.5,0
"routine-ia2030","COD",652235.52,254371.94,11515524.82,0
"routine-ia2030","COG",22529.64,8786.38,375643.73,0
"routine-ia2030","COL",249210.12,97191.65,4158445.74,0
"routine-ia2030","ECU",23100.48,9007.68,393217.25,0
"routine-ia2030","ERI",10269.84,4002.91,183001.49,0
"routine-ia2030","ETH",412531.32,160887.45,7295940.44,0
"routine-ia2030","GHA",160252.44,62498.14,2731433.58,0
"routine-ia2030","GIN",108588.24,42349.12,1873652.3,0
"routine-ia2030","GMB",6961.56,2707.81,120148.5,0
"routine-ia2030","GNB",11035.68,4301.45,184336.34,0
"routine-ia2030","KEN",310466.4,121081.89,5260045.36,0
"routine-ia2030","LBR",19936.08,7776.25,339114.73,0
"routine-ia2030","MLI",86080.68,33571.98,1511421.3,0
"routine-ia2030","MRT",27767.28,10829.22,495001.14,0
"routine-ia2030","NER",160237.2,62492.59,2974048.97,0
"routine-ia2030","NGA",1431686.28,558357.76,22861687.42,0
"routine-ia2030","PER",76769.88,29940.11,1287044.43,0
"routine-ia2030","RWA",11995.68,4673.72,206130.88,0
"routine-ia2030","SDN",323006.04,125972.18,5765256.83,0
"routine-ia2030","SEN",111111.84,43333.42,2161528.39,0
"routine-ia2030","SLE",34850.04,13590.2,567259.26,0
"routine-ia2030","SOM",99488.52,38800.46,1698586.23,0
"routine-ia2030","SSD",113323.32,44197.13,1874504.13,0
"routine-ia2030","TCD",95859.84,37385.33,1554346,0
"routine-ia2030","TGO",54316.2,21184.21,917701.85,0
"routine-ia2030","TZA",227105.76,88571.21,4103757.69,0
"routine-ia2030","UGA",183635.88,71618.21,3072765.15,0
"routine-ia2030","VEN",198453.48,77396.95,3372765.36,0
"routine-ia2030","ZMB",37118.52,14475.01,620906.81,0
"routine-campaign-ia2030","AGO",66377.28,25886.15,1146423.51,0
"routine-campaign-ia2030","BDI",16036.2,6256.81,270471.91,0
"routine-campaign-ia2030","BEN",55354.08,21587.81,1002077.88,0
"routine-campaign-ia2030","BFA",78802.56,30732.97,1377583.17,0
"routine-campaign-ia2030","CAF",27316.32,10653.03,450752.97,0
"routine-campaign-ia2030","CIV",161418.6,62952.98,2803404.59,0
"routine-campaign-ia2030","CMR",284949.72,111130.05,5151965.5,0
"routine-campaign-ia2030","COD",516689.04,201508.03,9361933.48,0
"routine-campaign-ia2030","COG",16998.84,6632.5,298735.18,0
"routine-campaign-ia2030","COL",249210.12,97191.65,4158445.74,0
"routine-campaign-ia2030","ECU",23100.48,9007.68,393217.25,0
"routine-campaign-ia2030","ERI",10269.84,4002.91,183001.49,0
"routine-campaign-ia2030","ETH",238268.52,92923.68,4404383.07,0
"routine-campaign-ia2030","GHA",115382.04,44998.57,2066224.77,0
"routine-campaign-ia2030","GIN",81792.72,31898.61,1431418.04,0
"routine-campaign-ia2030","GMB",6961.56,2707.81,120148.5,0
"routine-campaign-ia2030","GNB",8481.96,3305.63,147942.63,0
"routine-campaign-ia2030","KEN",310466.4,121081.89,5260045.36,0
"routine-campaign-ia2030","LBR",14637.84,5709.59,258109.44,0
"routine-campaign-ia2030","MLI",73852.08,28802.35,1322783.4,0
"routine-campaign-ia2030","MRT",27767.28,10829.22,495001.14,0
"routine-campaign-ia2030","NER",134053.2,52280.94,2577732.27,0
"routine-campaign-ia2030","NGA",859456.68,335188.24,14229104.79,0
"routine-campaign-ia2030","PER",76769.88,29940.11,1287044.43,0
"routine-campaign-ia2030","RWA",11995.68,4673.72,206130.88,0
"routine-campaign-ia2030","SDN",179101.8,69849.53,3293620.73,0
"routine-campaign-ia2030","SEN",94727.64,36943.46,1894149.85,0
"routine-campaign-ia2030","SLE",25111.08,9791.95,419625.33,0
"routine-campaign-ia2030","SOM",99488.52,38800.46,1698586.23,0
"routine-campaign-ia2030","SSD",74981.76,29243.1,1285780.54,0
"routine-campaign-ia2030","TCD",71263.08,27791.52,1200437.47,0
"routine-campaign-ia2030","TGO",34938.72,13627.19,616734.85,0
"routine-campaign-ia2030","TZA",227105.76,88571.21,4103757.69,0
"routine-campaign-ia2030","UGA",183635.88,71618.21,3072765.15,0
"routine-campaign-ia2030","VEN",181455.84,70767.8,3133340.41,0
"routine-campaign-ia2030","ZMB",37118.52,14475.01,620906.81,0
