"scenario","country","cases","deaths","dalys","YLL"
"routine-default","AGO",78436.92,30590.57,1363922.3,0
"routine-default","BDI",16057.56,6265.04,270839.28,0
"routine-default","BEN",78832.44,30744.99,1377789.25,0
"routine-default","BFA",102336.72,39911.46,1732908.27,0
"routine-default","CAF",40600.56,15834.9,660348.12,0
"routine-default","CIV",222366.12,86723.04,3767265.36,0
"routine-default","CMR",422475.84,164765.56,7470060.38,0
"routine-default","COD",710199.12,276977.42,12557446.07,0
"routine-default","COG",23907.96,9323.6,399142.6,0
"routine-default","COL",253232.4,98760.32,4229717.42,0
"routine-default","ECU",23541.6,9180.54,401636.45,0
"routine-default","ERI",10278.96,4006.46,183165.88,0
"routine-default","ETH",441428.76,172157.28,7826587.29,0
"routine-default","GHA",166080.96,64771.93,2839940.36,0
"routine-default","GIN",133193.28,51945.32,2305744.98,0
"routine-default","GMB",7401.72,2878.19,127846.81,0
"routine-default","GNB",11408.64,4447.23,190601.52,0
"routine-default","KEN",310466.4,121081.89,5260045.36,0
"routine-default","LBR",21070.92,8217.51,358488.1,0
"routine-default","MLI",90317.4,35224.09,1585606.19,0
"routine-default","MRT",27878.04,10872.46,497008.54,0
"routine-default","NER",164937,64325.5,3060358.82,0
"routine-default","NGA",1567233,611221.03,25077793.92,0
"routine-default","PER",78440.4,30591.4,1318324.75,0
"routine-default","RWA",11995.68,4673.72,206130.88,0
"routine-default","SDN",327515.28,127731.12,5847066.39,0
"routine-default","SEN",113502.48,44265.24,2207813.02,0
"routine-default","SLE",36161.88,14101.74,590046.86,0
"routine-default","SOM",100194.12,39076.1,1711012.55,0
"routine-default","SSD",115251.6,44948.84,1906526.39,0
"routine-default","TCD",106439.88,41511.69,1730054.85,0
"routine-default","TGO",55995,21838.86,946297.06,0
"routine-default","TZA",227721.36,88811.49,4115270.76,0
"routine-default","UGA",184757.04,72055.17,3091990.11,0
"routine-default","VEN",203380.44,79318.25,3460868.46,0
"routine-default","ZMB",37156.08,14489.68,621542.36,0
"no-vaccination","AGO",221188.32,86262.88,4038832.64,0
"no-vaccination","BDI",35114.88,13696.19,625961.32,0
"no-vaccination","BEN",738231.24,287910.38,13549755.4,0
"no-vaccination","BFA",915876.6,357191.78,16240366.19,0
"no-vaccination","CAF",287588.88,112160.01,4955634.07,0
"no-vaccination","CIV",3447436.08,1344499.91,63510027.41,0
"no-vaccination","CMR",4035852.6,1573982.35,76655052.74,0
"no-vaccination","COD",7794402,3039816.51,146074323.13,0
"no-vaccination","COG",106026,41350.25,1870728.04,0
"no-vaccination","COL",668575.32,260744.49,11756003.93,0
"no-vaccination","ECU",44818.08,17478.67,821519.73,0
"no-vaccination","ERI",21153.36,8246.57,399735.02,0
"no-vaccination","ETH",1299039.48,506625.09,24052147.73,0
"no-vaccination","GHA",2561571.12,999012.79,47230657.98,0
"no-vaccination","GIN",1108923.48,432480.56,20149229.06,0
"no-vaccination","GMB",50839.32,19826.83,914859.26,0
"no-vaccination","GNB",63495.96,24762.75,1102813.27,0
"no-vaccination","KEN",418963.56,163396.23,7222674.25,0
"no-vaccination","LBR",204833.04,79884.67,3646401.44,0
"no-vaccination","MLI",639861,249545.3,11670429.04,0
"no-vaccination","MRT",76675.68,29903.67,1435822.49,0
"no-vaccination","NER",1331872.92,519430.49,26250490.65,0
"no-vaccination","NGA",11581953.36,4516961.64,195585864.71,0
"no-vaccination","PER",170413.92,66461.14,3093887.37,0
"no-vaccination","RWA",26065.56,10168.07,474327.93,0
"no-vaccination","SDN",1078802.4,420732.97,19897926.19,0
"no-vaccination","SEN",1245731.04,485835.4,26046651.37,0
"no-vaccination","SLE",475229.64,185339.86,8278403.08,0
"no-vaccination","SOM",309396.36,120664.48,5536929.35,0
"no-vaccination","SSD",348191.16,135794.66,5878175.74,0
"no-vaccination","TCD",513600.24,200304.05,8739349.23,0
"no-vaccination","TGO",400103.88,156040.64,7193444.77,0
"no-vaccination","TZA",631857.6,246424.86,12237501.4,0
"no-vaccination","UGA",538649.64,210073.63,9409590.5,0
"no-vaccination","VEN",700387.08,273150.67,12553715.02,0
"no-vaccination","ZMB",87458.64,34108.61,1558073.74,0
"routine-bluesky","AGO",65030.4,25362.26,1128970.03,0
"routine-bluesky","BDI",15314.76,5975.55,259165.33,0
"routine-bluesky","BEN",78010.68,30424.39,1368858.25,0
"routine-bluesky","BFA",100204.92,39079.82,1698680.01,0
"routine-bluesky","CAF",34601.04,13495.45,561096.21,0
"routine-bluesky","CIV",207435.36,80899.67,3516667.58,0
"routine-bluesky","CMR",377937.24,147395.41,6695811.92,0
"routine-bluesky","COD",649705.8,253385,11504136.09,0
"routine-bluesky","COG",22919.28,8938.62,384010.27,0
"routine-bluesky","COL",247367.76,96473.45,4126244.18,0
"routine-bluesky","ECU",23129.16,9019.15,394460.16,0
"routine-bluesky","ERI",9579.96,3733.63,170954.23,0
"routine-bluesky","ETH",387981,151312.96,6850538.83,0
"routine-bluesky","GHA",159845.88,62339.56,2724577.12,0
"routine-bluesky","GIN",103686.84,40437.68,1792207.43,0
"routine-bluesky","GMB",7153.56,2782.76,124110.94,0
"routine-bluesky","GNB",11099.16,4326.56,185752.49,0
"routine-bluesky","KEN",167551.2,65344.74,2750692.33,0
"routine-bluesky","LBR",20065.68,7826.21,341944.03,0
"routine-bluesky","MLI",88709.76,34596.48,1566102.05,0
"routine-bluesky","MRT",26989.32,10525.54,482296.56,0
"routine-bluesky","NER",164224.56,64047.89,3059332.47,0
"routine-bluesky","NGA",1399541.64,545821.51,22407051.04,0
"routine-bluesky","PER",76200.96,29718.52,1278295,0
"routine-bluesky","RWA",11107.92,4327.28,191127.71,0
"routine-bluesky","SDN",287931.6,112293.51,5122582.21,0
"routine-bluesky","SEN",109925.04,42870.5,2139040.71,0
"routine-bluesky","SLE",34393.08,13412.08,559743.13,0
"routine-bluesky","SOM",97392.12,37983,1666291.28,0
"routine-bluesky","SSD",105246.12,41046.23,1740037.1,0
"routine-bluesky","TCD",93752.04,36563.51,1526194.45,0
"routine-bluesky","TGO",55007.64,21452.57,932398.71,0
"routine-bluesky","TZA",217655.04,84885.41,3941075.66,0
"routine-bluesky","UGA",176491.92,68831.9,2951008.85,0
"routine-bluesky","VEN",199834.2,77935.36,3405037.51,0
"routine-bluesky","ZMB",35842.32,13978.89,601312.48,0
"routine-campaign-bluesky","AGO",48276.48,18827.09,881554.87,0
"routine-campaign-bluesky","BDI",10106.88,3941.71,183208.76,0
"routine-campaign-bluesky","BEN",52887.36,20625.68,972259.21,0
"routine-campaign-bluesky","BFA",74754.48,29154.08,1316686.02,0
"routine-campaign-bluesky","CAF",24012.48,9365.51,401377.68,0
"routine-campaign-bluesky","CIV",146921.88,57299.18,2574999.26,0
"routine-campaign-bluesky","CMR",276220.56,107725.31,5029978.08,0
"routine-campaign-bluesky","COD",524215.56,204443.98,9534291.73,0
"routine-campaign-bluesky","COG",17492.52,6824.93,309033.24,0
"routine-campaign-bluesky","COL",167699.64,65402.65,3032044.71,0
"routine-campaign-bluesky","ECU",15162.6,5901.55,283753.28,0
"routine-campaign-bluesky","ERI",6005.88,2343.33,115705.95,0
"routine-campaign-bluesky","ETH",245280.72,95659.56,4535217.14,0
"routine-campaign-bluesky","GHA",112420.2,43843.18,2018704.36,0
"routine-campaign-bluesky","GIN",66779.4,26043.18,1192099.35,0
"routine-campaign-bluesky","GMB",5984.76,2325.83,108427.85,0
"routine-campaign-bluesky","GNB",8504.64,3317.04,149166.16,0
"routine-campaign-bluesky","KEN",105385.92,41100.84,1845171.38,0
"routine-campaign-bluesky","LBR",13355.64,5208.91,238950.49,0
"routine-campaign-bluesky","MLI",69939.48,27276.19,1273092.55,0
"routine-campaign-bluesky","MRT",17304,6749.12,330521.56,0
"routine-campaign-bluesky","NER",138050.64,53839.83,2661001.6,0
"routine-campaign-bluesky","NGA",858900.24,334970.98,14309552.68,0
"routine-campaign-bluesky","PER",52246.68,20373.95,947071.69,0
"routine-campaign-bluesky","RWA",6893.76,2681.54,128004.48,0
"routine-campaign-bluesky","SDN",157000.08,61230.44,2911614.59,0
"routine-campaign-bluesky","SEN",87855.96,34263.84,1773396.93,0
"routine-campaign-bluesky","SLE",23261.16,9071.77,391709.92,0
"routine-campaign-bluesky","SOM",66894.84,26088.7,1198701.25,0
"routine-campaign-bluesky","SSD",72400.56,28236.84,1241904.33,0
"routine-campaign-bluesky","TCD",71823.6,28011.22,1214119.24,0
"routine-campaign-bluesky","TGO",33209.76,12952.17,594167.06,0
"routine-campaign-bluesky","TZA",143585.4,55998.05,2747132.68,0
"routine-campaign-bluesky","UGA",114141.72,44515.9,2013506.49,0
"routine-campaign-bluesky","VEN",146440.56,57111.2,2668308.39,0
"routine-campaign-bluesky","ZMB",23693.4,9236.98,423140.64,0
