"scenario","country","year","cases","deaths","dalys","YLL"
"routine-default","AGO",2088,886.2,345.56,14017.16,0
"routine-default","AGO",2089,884.28,344.88,13939.78,0
"routine-default","AGO",2090,882.12,344.05,13995.84,0
"routine-default","AGO",2091,879.96,343.25,13917.36,0
"routine-default","AGO",2092,877.56,342.29,13838.38,0
"routine-default","AGO",2093,875.4,341.49,13764.7,0
"routine-default","AGO",2094,872.52,340.36,13682.06,0
"routine-default","AGO",2095,870.12,339.35,13756.2,0
"routine-default","AGO",2096,866.4,337.84,13656.24,0
"routine-default","AGO",2097,864.6,337.19,13598.95,0
"routine-default","AGO",2098,861.96,336.27,13520.83,0
"routine-default","AGO",2099,858.96,335.12,13442.68,0
"routine-default","AGO",2100,853.08,332.84,13354.9,0
"routine-default","BDI",2000,90,35.07,1495.11,0
"routine-default","BDI",2001,92.16,35.93,1529.04,0
"routine-default","BDI",2002,95.4,37.17,1578.32,0
"routine-default","BDI",2003,98.64,38.44,1630.86,0
"routine-default","BDI",2004,102.84,40.07,1695.18,0
"routine-default","BDI",2005,106.56,41.53,1908.06,0
"routine-default","BDI",2006,110.76,43.18,1982.16,0
"routine-default","BDI",2007,115.08,44.86,2056.29,0
"routine-default","BDI",2008,120.72,47.07,2153.3,0
"routine-default","BDI",2009,126.96,49.49,2260.61,0
"routine-default","BDI",2010,133.08,51.9,2468.29,0
"routine-default","BDI",2011,137.76,53.7,2552.91,0
"routine-default","BDI",2012,142.56,55.58,2642.29,0
"routine-default","BDI",2013,147.84,57.65,2740.14,0
"routine-default","BDI",2014,152.16,59.33,2815.2,0
"routine-default","BDI",2015,156,60.82,2985.79,0
"routine-default","BDI",2016,158.76,61.93,3037.06,0
"routine-default","BDI",2017,162.72,63.48,3112.32,0
"routine-default","BDI",2018,167.76,65.43,3200.2,0
"routine-default","BDI",2019,173.4,67.63,3297.87,0
"routine-default","BDI",2020,178.8,69.75,3406.53,0
"routine-default","BDI",2021,183.48,71.57,3486.62,0
"routine-default","BDI",2022,188.4,73.48,3570.85,0
"routine-default","BDI",2023,193.92,75.62,3661.03,0
"routine-default","BDI",2024,199.56,77.81,3753.22,0
"routine-default","BDI",2025,204.84,79.87,3976.33,0
"routine-default","BDI",2026,208.8,81.41,4035.2,0
"routine-default","BDI",2027,210.12,81.98,4040.37,0
"routine-default","BDI",2028,208.56,81.34,3984.3,0
"routine-default","BDI",2029,206.04,80.35,3904.59,0
"routine-default","BDI",2030,202.68,79.06,3845.58,0
"routine-default","BDI",2031,199.92,77.97,3753.61,0
"routine-default","BDI",2032,196.44,76.64,3660.5,0
"routine-default","BDI",2033,193.8,75.61,3578.97,0
"routine-default","BDI",2034,191.28,74.63,3503.07,0
"routine-default","BDI",2035,188.52,73.53,3454.07,0
"routine-default","BDI",2036,186.72,72.86,3388.55,0
"routine-default","BDI",2037,185.04,72.16,3330.02,0
"routine-default","BDI",2038,182.28,71.07,3253.63,0
"routine-default","BDI",2039,180.96,70.52,3201.15,0
"routine-default","BDI",2040,179.52,69.99,3177.33,0
"routine-default","BDI",2041,177.72,69.35,3121.22,0
"routine-default","BDI",2042,177,69.03,3080.96,0
"routine-default","BDI",2043,175.8,68.55,3039.82,0
"routine-default","BDI",2044,174.24,67.94,2982.64,0
"routine-default","BDI",2045,173.88,67.84,2980.39,0
"routine-default","BDI",2046,172.8,67.43,2937.4,0
"routine-default","BDI",2047,172.56,67.31,2910.46,0
"routine-default","BDI",2048,171,66.66,2862.81,0
"routine-default","BDI",2049,170.16,66.32,2827.91,0
"routine-default","BDI",2050,170.28,66.36,2827.74,0
"routine-default","BDI",2051,168.96,65.85,2789.11,0
"routine-default","BDI",2052,168.24,65.58,2754.78,0
"routine-default","BDI",2053,168.12,65.55,2736.03,0
"routine-default","BDI",2054,167.28,65.2,2700.77,0
"routine-default","BDI",2055,166.44,64.89,2694.53,0
"routine-default","BDI",2056,165.96,64.7,2669.54,0
"routine-default","BDI",2057,165.36,64.49,2639.09,0
"routine-default","BDI",2058,164.76,64.27,2612.61,0
"routine-default","BDI",2059,164.28,64.11,2589.08,0
"routine-default","BDI",2060,163.44,63.86,2582.58,0
"routine-default","BDI",2061,163.32,63.82,2565.53,0
"routine-default","BDI",2062,163.92,64.05,2556.17,0
"routine-default","BDI",2063,162.48,63.48,2526.4,0
"routine-default","BDI",2064,161.64,63.14,2500.08,0
"routine-default","BDI",2065,161.04,62.88,2493.1,0
"routine-default","BDI",2066,159.84,62.38,2466.62,0
"routine-default","BDI",2067,159.84,62.38,2452.14,0
"routine-default","BDI",2068,159.36,62.21,2430.75,0
"routine-default","BDI",2069,158.52,61.93,2415.68,0
"routine-default","BDI",2070,158.76,62.03,2426.09,0
"routine-default","BDI",2071,158.52,61.92,2413.53,0
"routine-default","BDI",2072,157.08,61.33,2386.62,0
"routine-default","BDI",2073,156.48,61.07,2364.77,0
"routine-default","BDI",2074,155.52,60.68,2347.6,0
"routine-default","BDI",2075,154.68,60.32,2343.17,0
"routine-default","BDI",2076,153.72,59.93,2315.13,0
"routine-default","BDI",2077,153,59.68,2299.85,0
"routine-default","BDI",2078,152.52,59.5,2289.6,0
"routine-default","BDI",2079,152.52,59.49,2281.98,0
"routine-default","BDI",2080,151.92,59.25,2291.86,0
"routine-default","BDI",2081,152.04,59.28,2285.31,0
"routine-default","BDI",2082,150.72,58.8,2270,0
"routine-default","BDI",2083,148.92,58.13,2246.43,0
"routine-default","BDI",2084,148.68,58.05,2229.5,0
"routine-default","BDI",2085,147,57.41,2217.54,0
"routine-default","BDI",2086,145.56,56.85,2186.73,0
"routine-default","BDI",2087,144.6,56.47,2170.84,0
"routine-default","BDI",2088,143.76,56.13,2161.82,0
"routine-default","BDI",2089,143.76,56.13,2158,0
"routine-default","BDI",2090,142.92,55.81,2172.54,0
"routine-default","BDI",2091,142.08,55.48,2166.14,0
"routine-default","BDI",2092,141.96,55.43,2161.25,0
"routine-default","BDI",2093,140.4,54.84,2145,0
"routine-default","BDI",2094,139.2,54.4,2125.72,0
"routine-default","BDI",2095,138,53.95,2124.64,0
"routine-default","BDI",2096,136.68,53.41,2109.16,0
"routine-default","BDI",2097,135.96,53.14,2098.71,0
"routine-default","BDI",2098,135.72,53.06,2092.75,0
"routine-default","BDI",2099,134.04,52.46,2063.18,0
"routine-default","BDI",2100,131.76,51.57,2041.36,0
"routine-default","BEN",2000,1834.8,715.57,34814.96,0
"routine-default","BEN",2001,1927.2,751.59,36552.59,0
"routine-default","BEN",2002,1984.8,774.11,37608,0
"routine-default","BEN",2003,1885.32,735.29,35638.17,0
"routine-default","BEN",2004,1650.84,643.82,31084.68,0
"routine-default","BEN",2005,1406.16,548.34,26215.2,0
"routine-default","BEN",2006,1173.12,457.47,21788.45,0
"routine-default","BEN",2007,1074.48,419.02,19874.53,0
"routine-default","BEN",2008,1010.64,394.11,18609.98,0
"routine-default","BEN",2009,961.32,374.92,17625.92,0
"routine-default","BEN",2010,918.96,358.4,16922.95,0
"routine-default","BEN",2011,885.96,345.51,16247.2,0
"routine-default","BEN",2012,858.48,334.81,15675.82,0
"routine-default","BEN",2013,834,325.27,15170.16,0
"routine-default","BEN",2014,816.6,318.52,14802.55,0
"routine-default","BEN",2015,807.36,314.88,14678.33,0
"routine-default","BEN",2016,798.84,311.56,14481.95,0
"routine-default","BEN",2017,789.84,308.08,14274.65,0
"routine-default","BEN",2018,778.92,303.78,14031.91,0
"routine-default","BEN",2019,768.12,299.56,13792.08,0
"routine-default","BEN",2020,760.92,296.72,13553.55,0
"routine-default","BEN",2021,756,294.85,13424.82,0
"routine-default","BEN",2022,749.64,292.36,13278.04,0
"routine-default","BEN",2023,744.6,290.4,13145.76,0
"routine-default","BEN",2024,740.52,288.87,13026.83,0
"routine-default","BEN",2025,736.56,287.26,13263.54,0
"routine-default","BEN",2026,732.6,285.72,13149.88,0
"routine-default","BEN",2027,728.64,284.18,13031.44,0
"routine-default","BEN",2028,724.56,282.62,12917.23,0
"routine-default","BEN",2029,721.8,281.49,12821.62,0
"routine-default","BEN",2030,718.92,280.38,12834.01,0
"routine-default","BEN",2031,716.04,279.24,12731.25,0
"routine-default","BEN",2032,713.64,278.3,12646.46,0
"routine-default","BEN",2033,710.52,277.12,12550.38,0
"routine-default","BEN",2034,708,276.15,12457.3,0
"routine-default","BEN",2035,705.6,275.18,12468.38,0
"routine-default","BEN",2036,703.32,274.32,12380.52,0
"routine-default","BEN",2037,700.56,273.23,12288.28,0
"routine-default","BEN",2038,698.4,272.36,12204.46,0
"routine-default","BEN",2039,695.52,271.24,12106.92,0
"routine-default","BEN",2040,693.48,270.44,12124.91,0
"routine-default","BEN",2041,690.96,269.46,12027.63,0
"routine-default","BEN",2042,688.32,268.43,11939.81,0
"routine-default","BEN",2043,686.16,267.59,11856.24,0
"routine-default","BEN",2044,683.04,266.38,11758.29,0
"routine-default","BEN",2045,680.28,265.3,11754.56,0
"routine-default","BEN",2046,677.76,264.31,11658.52,0
"routine-default","BEN",2047,675.24,263.34,11573.52,0
"routine-default","BEN",2048,672.72,262.37,11490.59,0
"routine-default","BEN",2049,670.68,261.57,11414.94,0
"routine-default","BEN",2050,668.88,260.89,11421.19,0
"routine-default","BEN",2051,667.2,260.2,11360.8,0
"routine-default","BEN",2052,666,259.76,11300.62,0
"routine-default","BEN",2053,666,259.75,11260.27,0
"routine-default","BEN",2054,664.44,259.13,11196.06,0
"routine-default","BEN",2055,663.48,258.77,11230.92,0
"routine-default","BEN",2056,662.52,258.39,11182.75,0
"routine-default","BEN",2057,662.28,258.31,11148.07,0
"routine-default","BEN",2058,662.64,258.43,11121.88,0
"routine-default","BEN",2059,661.56,258.01,11077.11,0
"routine-default","BEN",2060,662.28,258.3,11128.15,0
"routine-default","BEN",2061,661.92,258.15,11100.31,0
"routine-default","BEN",2062,661.92,258.16,11075.27,0
"routine-default","BEN",2063,662.16,258.21,11058.75,0
"routine-default","BEN",2064,661.8,258.08,11028,0
"routine-default","BEN",2065,661.92,258.15,11078.5,0
"routine-default","BEN",2066,662.76,258.45,11072.02,0
"routine-default","BEN",2067,663.72,258.83,11066.39,0
"routine-default","BEN",2068,663.72,258.83,11053.66,0
"routine-default","BEN",2069,663.96,258.96,11032.84,0
"routine-default","BEN",2070,665.16,259.44,11097.94,0
"routine-default","BEN",2071,665.4,259.5,11092.24,0
"routine-default","BEN",2072,666.12,259.8,11088.57,0
"routine-default","BEN",2073,666.6,259.98,11079.71,0
"routine-default","BEN",2074,668.52,260.74,11088.36,0
"routine-default","BEN",2075,669.24,261,11158.05,0
"routine-default","BEN",2076,670.2,261.39,11156.49,0
"routine-default","BEN",2077,670.32,261.43,11148.31,0
"routine-default","BEN",2078,671.4,261.85,11153.22,0
"routine-default","BEN",2079,673.08,262.49,11161.64,0
"routine-default","BEN",2080,674.16,262.95,11238.39,0
"routine-default","BEN",2081,675,263.29,11240.57,0
"routine-default","BEN",2082,676.2,263.74,11243.72,0
"routine-default","BEN",2083,678.12,264.46,11260.2,0
"routine-default","BEN",2084,678.48,264.6,11250.08,0
"routine-default","BEN",2085,680.04,265.23,11337.34,0
"routine-default","BEN",2086,681,265.6,11338.76,0
"routine-default","BEN",2087,682.8,266.29,11350.68,0
"routine-default","BEN",2088,684.12,266.8,11355.34,0
"routine-default","BEN",2089,685.56,267.39,11361.03,0
"routine-default","BEN",2090,687.12,267.98,11454.64,0
"routine-default","BEN",2091,687.84,268.25,11456.39,0
"routine-default","BEN",2092,689.52,268.95,11467.06,0
"routine-default","BEN",2093,691.2,269.59,11476.44,0
"routine-default","BEN",2094,692.04,269.91,11475.37,0
"routine-default","BEN",2095,694.08,270.69,11573.26,0
"routine-default","BEN",2096,695.52,271.27,11581.48,0
"routine-default","BEN",2097,696.72,271.74,11588.33,0
"routine-default","BEN",2098,697.68,272.13,11585.12,0
"routine-default","BEN",2099,699,272.63,11591.44,0
"routine-default","BEN",2100,698.28,272.33,11575.76,0
"routine-default","BFA",2000,1960.44,764.56,35079.52,0
"routine-default","BFA",2001,1836.24,716.18,32791.81,0
"routine-default","BFA",2002,1803.96,703.53,32147.14,0
"routine-default","BFA",2003,1748.16,681.79,31073.18,0
"routine-default","BFA",2004,1489.32,580.82,26379.92,0
"routine-default","BFA",2005,1080.84,421.55,19407.26,0
"routine-default","BFA",2006,910.32,355.02,16281.82,0
"routine-default","BFA",2007,885.24,345.24,15763.27,0
"routine-default","BFA",2008,865.68,337.64,15349.46,0
"routine-default","BFA",2009,847.56,330.55,14955.81,0
"routine-default","BFA",2010,835.2,325.71,15144.39,0
"routine-default","BFA",2011,830.64,323.95,15002.03,0
"routine-default","BFA",2012,826.44,322.3,14871.14,0
"routine-default","BFA",2013,820.92,320.15,14708.98,0
"routine-default","BFA",2014,816,318.25,14560.26,0
"routine-default","BFA",2015,813.84,317.38,14764.64,0
"routine-default","BFA",2016,823.56,321.19,14905.43,0
"routine-default","BFA",2017,853.32,332.81,15435.61,0
"routine-default","BFA",2018,870.6,339.55,15725.2,0
"routine-default","BFA",2019,870.36,339.42,15663.5,0
"routine-default","BFA",2020,872.04,340.08,15534.38,0
"routine-default","BFA",2021,873.84,340.8,15505.77,0
"routine-default","BFA",2022,876,341.67,15485.14,0
"routine-default","BFA",2023,879.12,342.83,15477.37,0
"routine-default","BFA",2024,882.72,344.26,15476.66,0
"routine-default","BFA",2025,886.68,345.81,15931.23,0
"routine-default","BFA",2026,892.08,347.9,15959.55,0
"routine-default","BFA",2027,896.64,349.67,15983.88,0
"routine-default","BFA",2028,902.88,352.1,16027.55,0
"routine-default","BFA",2029,908.88,354.45,16066.26,0
"routine-default","BFA",2030,915.24,356.98,16288.3,0
"routine-default","BFA",2031,921.12,359.19,16335.45,0
"routine-default","BFA",2032,928.08,361.98,16391.5,0
"routine-default","BFA",2033,933.6,364.09,16422.23,0
"routine-default","BFA",2034,939.24,366.3,16453.8,0
"routine-default","BFA",2035,943.56,367.97,16617.87,0
"routine-default","BFA",2036,948.24,369.83,16627.81,0
"routine-default","BFA",2037,952.68,371.54,16634.49,0
"routine-default","BFA",2038,956.16,372.91,16615.99,0
"routine-default","BFA",2039,959.76,374.34,16600.57,0
"routine-default","BFA",2040,961.92,375.17,16714.55,0
"routine-default","BFA",2041,964.56,376.16,16681.24,0
"routine-default","BFA",2042,967.56,377.34,16646.19,0
"routine-default","BFA",2043,969.24,377.98,16606.56,0
"routine-default","BFA",2044,972.96,379.5,16589.21,0
"routine-default","BFA",2045,975.24,380.32,16695.51,0
"routine-default","BFA",2046,978.48,381.6,16678.9,0
"routine-default","BFA",2047,980.88,382.53,16646.27,0
"routine-default","BFA",2048,984.36,383.91,16640.63,0
"routine-default","BFA",2049,987.6,385.17,16618.73,0
"routine-default","BFA",2050,990.96,386.45,16741.06,0
"routine-default","BFA",2051,993.24,387.4,16717.44,0
"routine-default","BFA",2052,996.48,388.66,16710.26,0
"routine-default","BFA",2053,998.16,389.28,16671.86,0
"routine-default","BFA",2054,1001.04,390.43,16663.75,0
"routine-default","BFA",2055,1004.28,391.68,16782.86,0
"routine-default","BFA",2056,1006.56,392.53,16758.64,0
"routine-default","BFA",2057,1008.6,393.44,16738.52,0
"routine-default","BFA",2058,1011.48,394.54,16728.65,0
"routine-default","BFA",2059,1013.64,395.29,16706.71,0
"routine-default","BFA",2060,1015.32,395.93,16810.28,0
"routine-default","BFA",2061,1017.96,397.03,16793.28,0
"routine-default","BFA",2062,1019.52,397.61,16774.94,0
"routine-default","BFA",2063,1021.32,398.31,16753.38,0
"routine-default","BFA",2064,1022.76,398.86,16727.64,0
"routine-default","BFA",2065,1024.8,399.64,16843.58,0
"routine-default","BFA",2066,1026.72,400.4,16823.58,0
"routine-default","BFA",2067,1028.04,400.93,16797.24,0
"routine-default","BFA",2068,1029.48,401.51,16778.11,0
"routine-default","BFA",2069,1030.32,401.78,16751.38,0
"routine-default","BFA",2070,1032,402.46,16863.82,0
"routine-default","BFA",2071,1033.68,403.1,16842.61,0
"routine-default","BFA",2072,1034.88,403.59,16817.03,0
"routine-default","BFA",2073,1035.48,403.86,16783.87,0
"routine-default","BFA",2074,1037.16,404.48,16766.07,0
"routine-default","BFA",2075,1037.88,404.7,16857.72,0
"routine-default","BFA",2076,1037.76,404.77,16811.47,0
"routine-default","BFA",2077,1039.2,405.31,16800.01,0
"routine-default","BFA",2078,1039.2,405.26,16758.24,0
"routine-default","BFA",2079,1040.04,405.57,16734.97,0
"routine-default","BFA",2080,1041.6,406.21,16834.22,0
"routine-default","BFA",2081,1041.84,406.33,16801.83,0
"routine-default","BFA",2082,1041.96,406.42,16767.99,0
"routine-default","BFA",2083,1042.32,406.52,16731.71,0
"routine-default","BFA",2084,1044,407.11,16711.33,0
"routine-default","BFA",2085,1043.64,407.03,16806.93,0
"routine-default","BFA",2086,1043.76,407.09,16769.46,0
"routine-default","BFA",2087,1044.36,407.35,16740.49,0
"routine-default","BFA",2088,1044.12,407.2,16700.93,0
"routine-default","BFA",2089,1044.24,407.26,16668.47,0
"routine-default","BFA",2090,1043.76,407.07,16759.62,0
"routine-default","BFA",2091,1044.12,407.19,16738.25,0
"routine-default","BFA",2092,1044.24,407.26,16697.23,0
"routine-default","BFA",2093,1044.48,407.37,16666.02,0
"routine-default","BFA",2094,1044.48,407.41,16635.05,0
"routine-default","BFA",2095,1043.52,407.04,16724.9,0
"routine-default","BFA",2096,1044.12,407.22,16695.63,0
"routine-default","BFA",2097,1043.04,406.78,16653.8,0
"routine-default","BFA",2098,1042.92,406.7,16624.64,0
"routine-default","BFA",2099,1041.6,406.24,16564.77,0
"routine-default","BFA",2100,1040.64,405.89,16542.07,0
"routine-default","CAF",2000,810.48,316.09,12276.33,0
"routine-default","CAF",2001,766.08,298.76,11579.12,0
"routine-default","CAF",2002,729.48,284.44,11004.65,0
"routine-default","CAF",2003,691.2,269.57,10403.9,0
"routine-default","CAF",2004,648.48,252.88,9738.74,0
"routine-default","CAF",2005,605.16,236.01,9190.94,0
"routine-default","CAF",2006,555.84,216.78,8418.02,0
"routine-default","CAF",2007,507.72,198.04,7673.94,0
"routine-default","CAF",2008,466.56,181.92,7033.22,0
"routine-default","CAF",2009,394.08,153.75,5937.55,0
"routine-default","CAF",2010,336.72,131.33,5341.93,0
"routine-default","CAF",2011,328.92,128.29,5220.67,0
"routine-default","CAF",2012,322.32,125.71,5124.95,0
"routine-default","CAF",2013,318.72,124.31,5086.61,0
"routine-default","CAF",2014,316.2,123.33,5064.41,0
"routine-default","CAF",2015,312.48,121.87,5291.29,0
"routine-default","CAF",2016,312.24,121.77,5294.38,0
"routine-default","CAF",2017,313.92,122.47,5327.77,0
"routine-default","CAF",2018,318.36,124.17,5407.31,0
"routine-default","CAF",2019,323.28,126.07,5496.49,0
"routine-default","CAF",2020,329.4,128.47,5654.12,0
"routine-default","CAF",2021,334.32,130.37,5751.82,0
"routine-default","CAF",2022,341.04,132.99,5877.09,0
"routine-default","CAF",2023,348.72,136.03,6010.27,0
"routine-default","CAF",2024,357.24,139.32,6153.88,0
"routine-default","CAF",2025,363.36,141.74,6474.06,0
"routine-default","CAF",2026,369.72,144.17,6581.44,0
"routine-default","CAF",2027,374.04,145.87,6656.4,0
"routine-default","CAF",2028,379.68,148.07,6742.61,0
"routine-default","CAF",2029,382.56,149.16,6785.85,0
"routine-default","CAF",2030,385.68,150.39,6911.54,0
"routine-default","CAF",2031,388.44,151.48,6946.36,0
"routine-default","CAF",2032,390.84,152.43,6971.08,0
"routine-default","CAF",2033,393.36,153.41,6995.14,0
"routine-default","CAF",2034,395.52,154.26,7013.36,0
"routine-default","CAF",2035,397.32,154.99,7118.62,0
"routine-default","CAF",2036,399.6,155.84,7136.35,0
"routine-default","CAF",2037,401.64,156.67,7145.78,0
"routine-default","CAF",2038,403.2,157.25,7146.05,0
"routine-default","CAF",2039,404.4,157.77,7143.48,0
"routine-default","CAF",2040,406.44,158.48,7237.67,0
"routine-default","CAF",2041,407.64,158.94,7227.66,0
"routine-default","CAF",2042,409.32,159.62,7221.1,0
"routine-default","CAF",2043,409.68,159.75,7198.44,0
"routine-default","CAF",2044,410.04,159.92,7167.97,0
"routine-default","CAF",2045,410.88,160.22,7237.71,0
"routine-default","CAF",2046,411.96,160.64,7216.49,0
"routine-default","CAF",2047,412.2,160.75,7185.75,0
"routine-default","CAF",2048,412.92,161.03,7159.15,0
"routine-default","CAF",2049,412.56,160.9,7118.01,0
"routine-default","CAF",2050,413.04,161.09,7166.78,0
"routine-default","CAF",2051,412.8,160.98,7126.36,0
"routine-default","CAF",2052,412.2,160.78,7076.56,0
"routine-default","CAF",2053,412.32,160.79,7033.56,0
"routine-default","CAF",2054,411.84,160.64,6984.48,0
"routine-default","CAF",2055,411.84,160.69,7017.26,0
"routine-default","CAF",2056,410.52,160.11,6957.22,0
"routine-default","CAF",2057,410.4,160.06,6904.37,0
"routine-default","CAF",2058,409.32,159.65,6849.06,0
"routine-default","CAF",2059,408.12,159.17,6788.2,0
"routine-default","CAF",2060,407.04,158.73,6792.72,0
"routine-default","CAF",2061,405.84,158.29,6729.36,0
"routine-default","CAF",2062,404.4,157.68,6657.23,0
"routine-default","CAF",2063,402.6,156.97,6592.22,0
"routine-default","CAF",2064,401.28,156.42,6523.61,0
"routine-default","CAF",2065,399.6,155.84,6519.11,0
"routine-default","CAF",2066,398.64,155.42,6457.55,0
"routine-default","CAF",2067,397.2,154.85,6395.32,0
"routine-default","CAF",2068,395.64,154.25,6333.89,0
"routine-default","CAF",2069,394.56,153.91,6276.54,0
"routine-default","CAF",2070,393,153.26,6268.64,0
"routine-default","CAF",2071,392.04,152.86,6214.93,0
"routine-default","CAF",2072,390.48,152.26,6151.9,0
"routine-default","CAF",2073,388.68,151.62,6089.58,0
"routine-default","CAF",2074,387.72,151.24,6039.64,0
"routine-default","CAF",2075,386.28,150.65,6041.2,0
"routine-default","CAF",2076,384.84,150.08,5980.98,0
"routine-default","CAF",2077,384.12,149.83,5940.88,0
"routine-default","CAF",2078,381.96,148.97,5874.66,0
"routine-default","CAF",2079,380.52,148.39,5827.64,0
"routine-default","CAF",2080,379.08,147.85,5818.48,0
"routine-default","CAF",2081,377.52,147.26,5773.89,0
"routine-default","CAF",2082,375.48,146.52,5713.9,0
"routine-default","CAF",2083,374.28,146.02,5669.13,0
"routine-default","CAF",2084,372.84,145.44,5622.53,0
"routine-default","CAF",2085,371.04,144.75,5618.61,0
"routine-default","CAF",2086,369.36,144.03,5573.48,0
"routine-default","CAF",2087,368.04,143.56,5531.83,0
"routine-default","CAF",2088,365.64,142.69,5469.49,0
"routine-default","CAF",2089,364.32,142.18,5428.18,0
"routine-default","CAF",2090,362.4,141.42,5430.96,0
"routine-default","CAF",2091,360.24,140.58,5380.33,0
"routine-default","CAF",2092,357.96,139.68,5326.25,0
"routine-default","CAF",2093,356.4,139.12,5288.67,0
